"name","id","url","platforms","kill chain phases","description","data sources","detection"
"OS Exhaustion Flood","T1499.001","https://attack.mitre.org/techniques/T1499/001","Linux, macOS, Windows","Impact","<p>Adversaries may launch a denial of service (DoS) attack targeting an endpoint's operating system (OS). A system's OS is responsible for managing the finite resources as well as preventing the entire system from being overwhelmed by excessive demands on its capacity. These attacks do not need to exhaust the actual resources on a system; the attacks may simply exhaust the limits and available resources that an OS self-imposes.</p>
<p>Different ways to achieve this exist, including TCP state-exhaustion attacks such as SYN floods and ACK floods.(Citation: Arbor AnnualDoSreport Jan 2018) With SYN floods, excessive amounts of SYN packets are sent, but the 3-way TCP handshake is never completed. Because each OS has a maximum number of concurrent TCP connections that it will allow, this can quickly exhaust the ability of the system to receive new requests for TCP connections, thus preventing access to any TCP service provided by the server.(Citation: Cloudflare SynFlood)</p>
<p>ACK floods leverage the stateful nature of the TCP protocol. A flood of ACK packets are sent to the target. This forces the OS to search its state table for a related TCP connection that has already been established. Because the ACK packets are for connections that do not exist, the OS will have to search the entire state table to confirm that no match exists. When it is necessary to do this for a large flood of packets, the computational requirements can cause the server to become sluggish and/or unresponsive, due to the work it must do to eliminate the rogue ACK packets. This greatly reduces the resources available for providing the targeted service.(Citation: Corero SYN-ACKflood)</p>","",""
"Service Exhaustion Flood","T1499.002","https://attack.mitre.org/techniques/T1499/002","Windows, IaaS, Linux, macOS","Impact","<p>Adversaries may target the different network services provided by systems to conduct a denial of service (DoS). Adversaries often target the availability of DNS and web services, however others have been targeted as well.(Citation: Arbor AnnualDoSreport Jan 2018) Web server software can be attacked through a variety of means, some of which apply generally while others are specific to the software being used to provide the service.</p>
<p>One example of this type of attack is known as a simple HTTP flood, where an adversary sends a large number of HTTP requests to a web server to overwhelm it and/or an application that runs on top of it. This flood relies on raw volume to accomplish the objective, exhausting any of the various resources required by the victim software to provide the service.(Citation: Cloudflare HTTPflood)</p>
<p>Another variation, known as a SSL renegotiation attack, takes advantage of a protocol feature in SSL/TLS. The SSL/TLS protocol suite includes mechanisms for the client and server to agree on an encryption algorithm to use for subsequent secure connections. If SSL renegotiation is enabled, a request can be made for renegotiation of the crypto algorithm. In a renegotiation attack, the adversary establishes a SSL/TLS connection and then proceeds to make a series of renegotiation requests. Because the cryptographic renegotiation has a meaningful cost in computation cycles, this can cause an impact to the availability of the service when done in volume.(Citation: Arbor SSLDoS April 2012)</p>","",""
"Application Exhaustion Flood","T1499.003","https://attack.mitre.org/techniques/T1499/003","Windows, IaaS, Linux, macOS","Impact","<p>Adversaries may target resource intensive features of applications to cause a denial of service (DoS), denying availability to those applications. For example, specific features in web applications may be highly resource intensive. Repeated requests to those features may be able to exhaust system resources and deny access to the application or the server itself.(Citation: Arbor AnnualDoSreport Jan 2018)</p>","",""
"Application or System Exploitation","T1499.004","https://attack.mitre.org/techniques/T1499/004","Windows, IaaS, Linux, macOS","Impact","<p>Adversaries may exploit software vulnerabilities that can cause an application or system to crash and deny availability to users. (Citation: Sucuri BIND9 August 2015) Some systems may automatically restart critical applications and services when crashes occur, but they can likely be re-exploited to cause a persistent denial of service (DoS) condition.</p>
<p>Adversaries may exploit known or zero-day vulnerabilities to crash applications and/or systems, which may also lead to dependent applications and/or systems to be in a DoS condition. Crashed or restarted applications or systems may also have other effects such as <a href=""https://attack.mitre.org/techniques/T1485"" rel=""noopener"" target=""_blank"">Data Destruction</a>, <a href=""https://attack.mitre.org/techniques/T1495"" rel=""noopener"" target=""_blank"">Firmware Corruption</a>, <a href=""https://attack.mitre.org/techniques/T1489"" rel=""noopener"" target=""_blank"">Service Stop</a> etc. which may further cause a DoS condition and deny availability to critical information, applications and/or systems. </p>","",""
"Server Software Component","T1505","https://attack.mitre.org/techniques/T1505","Windows, Linux, macOS, Network Devices, ESXi","Persistence","<p>Adversaries may abuse legitimate extensible development features of servers to establish persistent access to systems. Enterprise server applications may include features that allow developers to write and install software or scripts to extend the functionality of the main application. Adversaries may install malicious components to extend and abuse server applications.(Citation: volexity_0day_sophos_FW)</p>","",""
"SQL Stored Procedures","T1505.001","https://attack.mitre.org/techniques/T1505/001","Windows, Linux","Persistence","<p>Adversaries may abuse SQL stored procedures to establish persistent access to systems. SQL Stored Procedures are code that can be saved and reused so that database users do not waste time rewriting frequently used SQL queries. Stored procedures can be invoked via SQL statements to the database using the procedure name or via defined events (e.g. when a SQL server application is started/restarted).</p>
<p>Adversaries may craft malicious stored procedures that can provide a persistence mechanism in SQL database servers.(Citation: NetSPI Startup Stored Procedures)(Citation: Kaspersky MSSQL Aug 2019) To execute operating system commands through SQL syntax the adversary may have to enable additional functionality, such as xp_cmdshell for MSSQL Server.(Citation: NetSPI Startup Stored Procedures)(Citation: Kaspersky MSSQL Aug 2019)(Citation: Microsoft xp_cmdshell 2017) </p>
<p>Microsoft SQL Server can enable common language runtime (CLR) integration. With CLR integration enabled, application developers can write stored procedures using any .NET framework language (e.g. VB .NET, C#, etc.).(Citation: Microsoft CLR Integration 2017) Adversaries may craft or modify CLR assemblies that are linked to stored procedures since these CLR assemblies can be made to execute arbitrary commands.(Citation: NetSPI SQL Server CLR) </p>","",""
"Transport Agent","T1505.002","https://attack.mitre.org/techniques/T1505/002","Linux, Windows","Persistence","<p>Adversaries may abuse Microsoft transport agents to establish persistent access to systems. Microsoft Exchange transport agents can operate on email messages passing through the transport pipeline to perform various tasks such as filtering spam, filtering malicious attachments, journaling, or adding a corporate signature to the end of all outgoing emails.(Citation: Microsoft TransportAgent Jun 2016)(Citation: ESET LightNeuron May 2019) Transport agents can be written by application developers and then compiled to .NET assemblies that are subsequently registered with the Exchange server. Transport agents will be invoked during a specified stage of email processing and carry out developer defined tasks. </p>
<p>Adversaries may register a malicious transport agent to provide a persistence mechanism in Exchange Server that can be triggered by adversary-specified email events.(Citation: ESET LightNeuron May 2019) Though a malicious transport agent may be invoked for all emails passing through the Exchange transport pipeline, the agent can be configured to only carry out specific tasks in response to adversary defined criteria. For example, the transport agent may only carry out an action like copying in-transit attachments and saving them for later exfiltration if the recipient email address matches an entry on a list provided by the adversary. </p>","",""
"Web Shell","T1505.003","https://attack.mitre.org/techniques/T1505/003","Linux, macOS, Network Devices, Windows","Persistence","<p>Adversaries may backdoor web servers with web shells to establish persistent access to systems. A Web shell is a Web script that is placed on an openly accessible Web server to allow an adversary to access the Web server as a gateway into a network. A Web shell may provide a set of functions to execute or a command-line interface on the system that hosts the Web server.(Citation: volexity_0day_sophos_FW)</p>
<p>In addition to a server-side script, a Web shell may have a client interface program that is used to talk to the Web server (e.g. <a href=""https://attack.mitre.org/software/S0020"" rel=""noopener"" target=""_blank"">China Chopper</a> Web shell client).(Citation: Lee 2013)</p>","",""
"IIS Components","T1505.004","https://attack.mitre.org/techniques/T1505/004","Windows","Persistence","<p>Adversaries may install malicious components that run on Internet Information Services (IIS) web servers to establish persistence. IIS provides several mechanisms to extend the functionality of the web servers. For example, Internet Server Application Programming Interface (ISAPI) extensions and filters can be installed to examine and/or modify incoming and outgoing IIS web requests. Extensions and filters are deployed as DLL files that export three functions: <code>Get{Extension/Filter}Version</code>, <code>Http{Extension/Filter}Proc</code>, and (optionally) <code>Terminate{Extension/Filter}</code>. IIS modules may also be installed to extend IIS web servers.(Citation: Microsoft ISAPI Extension Overview 2017)(Citation: Microsoft ISAPI Filter Overview 2017)(Citation: IIS Backdoor 2011)(Citation: Trustwave IIS Module 2013)</p>
<p>Adversaries may install malicious ISAPI extensions and filters to observe and/or modify traffic, execute commands on compromised machines, or proxy command and control traffic. ISAPI extensions and filters may have access to all IIS web requests and responses. For example, an adversary may abuse these mechanisms to modify HTTP responses in order to distribute malicious commands/content to previously comprised hosts.(Citation: Microsoft ISAPI Filter Overview 2017)(Citation: Microsoft ISAPI Extension Overview 2017)(Citation: Microsoft ISAPI Extension All Incoming 2017)(Citation: Dell TG-3390)(Citation: Trustwave IIS Module 2013)(Citation: MMPC ISAPI Filter 2012)</p>
<p>Adversaries may also install malicious IIS modules to observe and/or modify traffic. IIS 7.0 introduced modules that provide the same unrestricted access to HTTP requests and responses as ISAPI extensions and filters. IIS modules can be written as a DLL that exports <code>RegisterModule</code>, or as a .NET application that interfaces with ASP.NET APIs to access IIS HTTP requests.(Citation: Microsoft IIS Modules Overview 2007)(Citation: Trustwave IIS Module 2013)(Citation: ESET IIS Malware 2021)</p>","",""
"Terminal Services DLL","T1505.005","https://attack.mitre.org/techniques/T1505/005","Windows","Persistence","<p>Adversaries may abuse components of Terminal Services to enable persistent access to systems. Microsoft Terminal Services, renamed to Remote Desktop Services in some Windows Server OSs as of 2022, enable remote terminal connections to hosts. Terminal Services allows servers to transmit a full, interactive, graphical user interface to clients via RDP.(Citation: Microsoft Remote Desktop Services)</p>
<p><a href=""https://attack.mitre.org/techniques/T1543/003"" rel=""noopener"" target=""_blank"">Windows Service</a>s that are run as a ""generic"" process (ex: <code>svchost.exe</code>) load the service's DLL file, the location of which is stored in a Registry entry named <code>ServiceDll</code>.(Citation: Microsoft System Services Fundamentals) The <code>termsrv.dll</code> file, typically stored in <code>%SystemRoot%\System32\</code>, is the default <code>ServiceDll</code> value for Terminal Services in <code>HKLM\System\CurrentControlSet\services\TermService\Parameters\</code>.</p>
<p>Adversaries may modify and/or replace the Terminal Services DLL to enable persistent access to victimized hosts.(Citation: James TermServ DLL) Modifications to this DLL could be done to execute arbitrary payloads (while also potentially preserving normal <code>termsrv.dll</code> functionality) as well as to simply enable abusable features of Terminal Services. For example, an adversary may enable features such as concurrent <a href=""https://attack.mitre.org/techniques/T1021/001"" rel=""noopener"" target=""_blank"">Remote Desktop Protocol</a> sessions by either patching the <code>termsrv.dll</code> file or modifying the <code>ServiceDll</code> value to point to a DLL that provides increased RDP functionality.(Citation: Windows OS Hub RDP)(Citation: RDPWrap Github) On a non-server Windows OS this increased functionality may also enable an adversary to avoid Terminal Services prompts that warn/log out users of a system when a new RDP session is created.</p>","",""
"vSphere Installation Bundles","T1505.006","https://attack.mitre.org/techniques/T1505/006","ESXi","Persistence","<p>Adversaries may abuse vSphere Installation Bundles (VIBs) to establish persistent access to ESXi hypervisors. VIBs are collections of files used for software distribution and virtual system management in VMware environments. Since ESXi uses an in-memory filesystem where changes made to most files are stored in RAM rather than in persistent storage, these modifications are lost after a reboot. However, VIBs can be used to create startup tasks, apply custom firewall rules, or deploy binaries that persist across reboots. Typically, administrators use VIBs for updates and system maintenance.</p>
<p>VIBs can be broken down into three components:(Citation: VMware VIBs)</p>
<ul>
<li>VIB payload: a <code>.vgz</code> archive containing the directories and files to be created and executed on boot when the VIBs are loaded.  </li>
<li>Signature file: verifies the host acceptance level of a VIB, indicating what testing and validation has been done by VMware or its partners before publication of a VIB. By default, ESXi hosts require a minimum acceptance level of PartnerSupported for VIB installation, meaning the VIB is published by a trusted VMware partner. However, privileged users can change the default acceptance level using the <code>esxcli</code> command line interface. Additionally, VIBs are able to be installed regardless of acceptance level by using the <code> esxcli software vib install --force</code> command. </li>
<li>XML descriptor file: a configuration file containing associated VIB metadata, such as the name of the VIB and its dependencies.  </li>
</ul>
<p>Adversaries may leverage malicious VIB packages to maintain persistent access to ESXi hypervisors, allowing system changes to be executed upon each bootup of ESXi &#8211; such as using  <code>esxcli</code> to enable firewall rules for backdoor traffic, creating listeners on hard coded ports, and executing backdoors.(Citation: Google Cloud Threat Intelligence ESXi VIBs 2022) Adversaries may also masquerade their malicious VIB files as PartnerSupported by modifying the XML descriptor file.(Citation: Google Cloud Threat Intelligence ESXi VIBs 2022)</p>","",""
"Software Discovery","T1518","https://attack.mitre.org/techniques/T1518","ESXi, IaaS, Linux, macOS, Windows","Discovery","<p>Adversaries may attempt to get a listing of software and software versions that are installed on a system or in a cloud environment. Adversaries may use the information from <a href=""https://attack.mitre.org/techniques/T1518"" rel=""noopener"" target=""_blank"">Software Discovery</a> during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.</p>
<p>Such software may be deployed widely across the environment for configuration management or security reasons, such as <a href=""https://attack.mitre.org/techniques/T1072"" rel=""noopener"" target=""_blank"">Software Deployment Tools</a>, and may allow adversaries broad access to infect devices or move laterally.</p>
<p>Adversaries may attempt to enumerate software for a variety of reasons, such as figuring out what security measures are present or if the compromised system has a version of software that is vulnerable to <a href=""https://attack.mitre.org/techniques/T1068"" rel=""noopener"" target=""_blank"">Exploitation for Privilege Escalation</a>.</p>","",""
"Security Software Discovery","T1518.001","https://attack.mitre.org/techniques/T1518/001","IaaS, Linux, macOS, Windows","Discovery","<p>Adversaries may attempt to get a listing of security software, configurations, defensive tools, and sensors that are installed on a system or in a cloud environment. This may include things such as cloud monitoring agents and anti-virus. Adversaries may use the information from <a href=""https://attack.mitre.org/techniques/T1518/001"" rel=""noopener"" target=""_blank"">Security Software Discovery</a> during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.</p>
<p>Example commands that can be used to obtain security software information are <a href=""https://attack.mitre.org/software/S0108"" rel=""noopener"" target=""_blank"">netsh</a>, <code>reg query</code> with <a href=""https://attack.mitre.org/software/S0075"" rel=""noopener"" target=""_blank"">Reg</a>, <code>dir</code> with <a href=""https://attack.mitre.org/software/S0106"" rel=""noopener"" target=""_blank"">cmd</a>, and <a href=""https://attack.mitre.org/software/S0057"" rel=""noopener"" target=""_blank"">Tasklist</a>, but other indicators of discovery behavior may be more specific to the type of software or security system the adversary is looking for. It is becoming more common to see macOS malware perform checks for LittleSnitch and KnockKnock software.</p>
<p>Adversaries may also utilize the <a href=""https://attack.mitre.org/techniques/T1059/009"" rel=""noopener"" target=""_blank"">Cloud API</a> to discover cloud-native security software installed on compute infrastructure, such as the AWS CloudWatch agent, Azure VM Agent, and Google Cloud Monitor agent. These agents  may collect  metrics and logs from the VM, which may be centrally aggregated in a cloud-based monitoring platform.</p>","",""
"Backup Software Discovery","T1518.002","https://attack.mitre.org/techniques/T1518/002","Windows, macOS, Linux","Discovery","<p>Adversaries may attempt to get a listing of backup software or configurations that are installed on a system. Adversaries may use this information to shape follow-on behaviors, such as <a href=""https://attack.mitre.org/techniques/T1485"" rel=""noopener"" target=""_blank"">Data Destruction</a>, <a href=""https://attack.mitre.org/techniques/T1490"" rel=""noopener"" target=""_blank"">Inhibit System Recovery</a>, or <a href=""https://attack.mitre.org/techniques/T1486"" rel=""noopener"" target=""_blank"">Data Encrypted for Impact</a>.  </p>
<p>Commands that can be used to obtain security software information are <a href=""https://attack.mitre.org/software/S0108"" rel=""noopener"" target=""_blank"">netsh</a>, <code>reg query</code> with <a href=""https://attack.mitre.org/software/S0075"" rel=""noopener"" target=""_blank"">Reg</a>, <code>dir</code> with <a href=""https://attack.mitre.org/software/S0106"" rel=""noopener"" target=""_blank"">cmd</a>, and <a href=""https://attack.mitre.org/software/S0057"" rel=""noopener"" target=""_blank"">Tasklist</a>, but other indicators of discovery behavior may be more specific to the type of software or security system the adversary is looking for, such as Veeam, Acronis, Dropbox, or Paragon.(Citation: Symantec Play Ransomware 2023)</p>","",""
"Implant Internal Image","T1525","https://attack.mitre.org/techniques/T1525","IaaS, Containers","Persistence","<p>Adversaries may implant cloud or container images with malicious code to establish persistence after gaining access to an environment. Amazon Web Services (AWS) Amazon Machine Images (AMIs), Google Cloud Platform (GCP) Images, and Azure Images as well as popular container runtimes such as Docker can be implanted or backdoored. Unlike <a href=""https://attack.mitre.org/techniques/T1608/001"" rel=""noopener"" target=""_blank"">Upload Malware</a>, this technique focuses on adversaries implanting an image in a registry within a victim&#8217;s environment. Depending on how the infrastructure is provisioned, this could provide persistent access if the infrastructure provisioning tool is instructed to always use the latest image.(Citation: Rhino Labs Cloud Image Backdoor Technique Sept 2019)</p>
<p>A tool has been developed to facilitate planting backdoors in cloud container images.(Citation: Rhino Labs Cloud Backdoor September 2019) If an adversary has access to a compromised AWS instance, and permissions to list the available container images, they may implant a backdoor such as a <a href=""https://attack.mitre.org/techniques/T1505/003"" rel=""noopener"" target=""_blank"">Web Shell</a>.(Citation: Rhino Labs Cloud Image Backdoor Technique Sept 2019)</p>","",""
"Cloud Service Discovery","T1526","https://attack.mitre.org/techniques/T1526","IaaS, Identity Provider, Office Suite, SaaS","Discovery","<p>An adversary may attempt to enumerate the cloud services running on a system after gaining access. These methods can differ from platform-as-a-service (PaaS), to infrastructure-as-a-service (IaaS), or software-as-a-service (SaaS). Many services exist throughout the various cloud providers and can include Continuous Integration and Continuous Delivery (CI/CD), Lambda Functions, Entra ID, etc. They may also include security services, such as AWS GuardDuty and Microsoft Defender for Cloud, and logging services, such as AWS CloudTrail and Google Cloud Audit Logs.</p>
<p>Adversaries may attempt to discover information about the services enabled throughout the environment. Azure tools and APIs, such as the Microsoft Graph API and Azure Resource Manager API, can enumerate resources and services, including applications, management groups, resources and policy definitions, and their relationships that are accessible by an identity.(Citation: Azure - Resource Manager API)(Citation: Azure AD Graph API)</p>
<p>For example, Stormspotter is an open source tool for enumerating and constructing a graph for Azure resources and services, and Pacu is an open source AWS exploitation framework that supports several methods for discovering cloud services.(Citation: Azure - Stormspotter)(Citation: GitHub Pacu)</p>
<p>Adversaries may use the information gained to shape follow-on behaviors, such as targeting data or credentials from enumerated services or evading identified defenses through <a href=""https://attack.mitre.org/techniques/T1562/001"" rel=""noopener"" target=""_blank"">Disable or Modify Tools</a> or <a href=""https://attack.mitre.org/techniques/T1562/008"" rel=""noopener"" target=""_blank"">Disable or Modify Cloud Logs</a>.</p>","",""
"Steal Application Access Token","T1528","https://attack.mitre.org/techniques/T1528","SaaS, Containers, IaaS, Office Suite, Identity Provider","Credential Access","<p>Adversaries can steal application access tokens as a means of acquiring credentials to access remote systems and resources.</p>
<p>Application access tokens are used to make authorized API requests on behalf of a user or service and are commonly used as a way to access resources in cloud and container-based applications and software-as-a-service (SaaS).(Citation: Auth0 - Why You Should Always Use Access Tokens to Secure APIs Sept 2019)  Adversaries who steal account API tokens in cloud and containerized environments may be able to access data and perform actions with the permissions of these accounts, which can lead to privilege escalation and further compromise of the environment.</p>
<p>For example, in Kubernetes environments, processes running inside a container may communicate with the Kubernetes API server using service account tokens. If a container is compromised, an adversary may be able to steal the container&#8217;s token and thereby gain access to Kubernetes API commands.(Citation: Kubernetes Service Accounts)  </p>
<p>Similarly, instances within continuous-development / continuous-integration (CI/CD) pipelines will often use API tokens to authenticate to other services for testing and deployment.(Citation: Cider Security Top 10 CICD Security Risks) If these pipelines are compromised, adversaries may be able to steal these tokens and leverage their privileges. </p>
<p>In Azure, an adversary who compromises a resource with an attached Managed Identity, such as an Azure VM, can request short-lived tokens through the Azure Instance Metadata Service (IMDS). These tokens can then facilitate unauthorized actions or further access to other Azure services, bypassing typical credential-based authentication.(Citation: Entra Managed Identities 2025)(Citation: SpecterOps Managed Identity 2022)</p>
<p>Token theft can also occur through social engineering, in which case user action may be required to grant access. OAuth is one commonly implemented framework that issues tokens to users for access to systems. An application desiring access to cloud-based services or protected APIs can gain entry using OAuth 2.0 through a variety of authorization protocols. An example commonly-used sequence is Microsoft's Authorization Code Grant flow.(Citation: Microsoft Identity Platform Protocols May 2019)(Citation: Microsoft - OAuth Code Authorization flow - June 2019) An OAuth access token enables a third-party application to interact with resources containing user data in the ways requested by the application without obtaining user credentials. </p>
<p>Adversaries can leverage OAuth authorization by constructing a malicious application designed to be granted access to resources with the target user's OAuth token.(Citation: Amnesty OAuth Phishing Attacks, August 2019)(Citation: Trend Micro Pawn Storm OAuth 2017) The adversary will need to complete registration of their application with the authorization server, for example Microsoft Identity Platform using Azure Portal, the Visual Studio IDE, the command-line interface, PowerShell, or REST API calls.(Citation: Microsoft - Azure AD App Registration - May 2019) Then, they can send a <a href=""https://attack.mitre.org/techniques/T1566/002"" rel=""noopener"" target=""_blank"">Spearphishing Link</a> to the target user to entice them to grant access to the application. Once the OAuth access token is granted, the application can gain potentially long-term access to features of the user account through <a href=""https://attack.mitre.org/techniques/T1550/001"" rel=""noopener"" target=""_blank"">Application Access Token</a>.(Citation: Microsoft - Azure AD Identity Tokens - Aug 2019)</p>
<p>Application access tokens may function within a limited lifetime, limiting how long an adversary can utilize the stolen token. However, in some cases, adversaries can also steal application refresh tokens(Citation: Auth0 Understanding Refresh Tokens), allowing them to obtain new access tokens without prompting the user.  </p>","",""
"System Shutdown/Reboot","T1529","https://attack.mitre.org/techniques/T1529","ESXi, Linux, macOS, Network Devices, Windows","Impact","<p>Adversaries may shutdown/reboot systems to interrupt access to, or aid in the destruction of, those systems. Operating systems may contain commands to initiate a shutdown/reboot of a machine or network device. In some cases, these commands may also be used to initiate a shutdown/reboot of a remote computer or network device via <a href=""https://attack.mitre.org/techniques/T1059/008"" rel=""noopener"" target=""_blank"">Network Device CLI</a> (e.g. <code>reload</code>).(Citation: Microsoft Shutdown Oct 2017)(Citation: alert_TA18_106A) They may also include shutdown/reboot of a virtual machine via hypervisor / cloud consoles or command line tools.</p>
<p>Shutting down or rebooting systems may disrupt access to computer resources for legitimate users while also impeding incident response/recovery.</p>
<p>Adversaries may also use Windows API functions, such as <code>InitializeSystemShutdownExW</code> or <code>ExitWindowsEx</code>, to force a system to shut down or reboot.(Citation: CrowdStrike Blog)(Citation: Unit42 Agrius 2023) Alternatively, the <code>NtRaiseHardError</code>or <code>ZwRaiseHardError</code> Windows API functions with the <code>ResponseOption</code> parameter set to <code>OptionShutdownSystem</code> may deliver a &#8220;blue screen of death&#8221; (BSOD) to a system.(Citation: SonicWall)(Citation: NtRaiseHardError)(Citation: NotMe-BSOD) In order to leverage these API functions, an adversary may need to acquire <code>SeShutdownPrivilege</code> (e.g., via <a href=""https://attack.mitre.org/techniques/T1134"" rel=""noopener"" target=""_blank"">Access Token Manipulation</a>).(Citation: Unit42 Agrius 2023)
 In some cases, the system may not be able to boot again. </p>
<p>Adversaries may attempt to shutdown/reboot a system after impacting it in other ways, such as <a href=""https://attack.mitre.org/techniques/T1561/002"" rel=""noopener"" target=""_blank"">Disk Structure Wipe</a> or <a href=""https://attack.mitre.org/techniques/T1490"" rel=""noopener"" target=""_blank"">Inhibit System Recovery</a>, to hasten the intended effects on system availability.(Citation: Talos Nyetya June 2017)(Citation: Talos Olympic Destroyer 2018)</p>","",""
"Data from Cloud Storage","T1530","https://attack.mitre.org/techniques/T1530","IaaS, Office Suite, SaaS","Collection","<p>Adversaries may access data from cloud storage.</p>
<p>Many IaaS providers offer solutions for online data object storage such as Amazon S3, Azure Storage, and Google Cloud Storage. Similarly, SaaS enterprise platforms such as Office 365 and Google Workspace provide cloud-based document storage to users through services such as OneDrive and Google Drive, while SaaS application providers such as Slack, Confluence, Salesforce, and Dropbox may provide cloud storage solutions as a peripheral or primary use case of their platform. </p>
<p>In some cases, as with IaaS-based cloud storage, there exists no overarching application (such as SQL or Elasticsearch) with which to interact with the stored objects: instead, data from these solutions is retrieved directly though the <a href=""https://attack.mitre.org/techniques/T1059/009"" rel=""noopener"" target=""_blank"">Cloud API</a>. In SaaS applications, adversaries may be able to collect this data directly from APIs or backend cloud storage objects, rather than through their front-end application or interface (i.e., <a href=""https://attack.mitre.org/techniques/T1213"" rel=""noopener"" target=""_blank"">Data from Information Repositories</a>). </p>
<p>Adversaries may collect sensitive data from these cloud storage solutions. Providers typically offer security guides to help end users configure systems, though misconfigurations are a common problem.(Citation: Amazon S3 Security, 2019)(Citation: Microsoft Azure Storage Security, 2019)(Citation: Google Cloud Storage Best Practices, 2019) There have been numerous incidents where cloud storage has been improperly secured, typically by unintentionally allowing public access to unauthenticated users, overly-broad access by all users, or even access for any anonymous person outside the control of the Identity Access Management system without even needing basic user permissions.</p>
<p>This open access may expose various types of sensitive data, such as credit cards, personally identifiable information, or medical records.(Citation: Trend Micro S3 Exposed PII, 2017)(Citation: Wired Magecart S3 Buckets, 2019)(Citation: HIPAA Journal S3 Breach, 2017)(Citation: Rclone-mega-extortion_05_2021)</p>
<p>Adversaries may also obtain then abuse leaked credentials from source repositories, logs, or other means as a way to gain access to cloud storage objects.</p>","",""
"Account Access Removal","T1531","https://attack.mitre.org/techniques/T1531","Linux, macOS, Windows, SaaS, IaaS, Office Suite, ESXi","Impact","<p>Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users. Accounts may be deleted, locked, or manipulated (ex: changed credentials, revoked permissions for SaaS platforms such as Sharepoint) to remove access to accounts.(Citation: Obsidian Security SaaS Ransomware June 2023) Adversaries may also subsequently log off and/or perform a <a href=""https://attack.mitre.org/techniques/T1529"" rel=""noopener"" target=""_blank"">System Shutdown/Reboot</a> to set malicious changes into place.(Citation: CarbonBlack LockerGoga 2019)(Citation: Unit42 LockerGoga 2019)</p>
<p>In Windows, <a href=""https://attack.mitre.org/software/S0039"" rel=""noopener"" target=""_blank"">Net</a> utility, <code>Set-LocalUser</code> and <code>Set-ADAccountPassword</code> <a href=""https://attack.mitre.org/techniques/T1059/001"" rel=""noopener"" target=""_blank"">PowerShell</a> cmdlets may be used by adversaries to modify user accounts. Accounts could also be disabled by Group Policy. In Linux, the <code>passwd</code> utility may be used to change passwords. On ESXi servers, accounts can be removed or modified via esxcli (<code>system account set</code>, <code>system account remove</code>).</p>
<p>Adversaries who use ransomware or similar attacks may first perform this and other Impact behaviors, such as <a href=""https://attack.mitre.org/techniques/T1485"" rel=""noopener"" target=""_blank"">Data Destruction</a> and <a href=""https://attack.mitre.org/techniques/T1491"" rel=""noopener"" target=""_blank"">Defacement</a>, in order to impede incident response/recovery before completing the <a href=""https://attack.mitre.org/techniques/T1486"" rel=""noopener"" target=""_blank"">Data Encrypted for Impact</a> objective. </p>","",""
"Internal Spearphishing","T1534","https://attack.mitre.org/techniques/T1534","Windows, macOS, Linux, SaaS, Office Suite","Lateral Movement","<p>After they already have access to accounts or systems within the environment, adversaries may use internal spearphishing to gain access to additional information or compromise other users within the same organization. Internal spearphishing is multi-staged campaign where a legitimate account is initially compromised either by controlling the user's device or by compromising the account credentials of the user. Adversaries may then attempt to take advantage of the trusted internal account to increase the likelihood of tricking more victims into falling for phish attempts, often incorporating <a href=""https://attack.mitre.org/techniques/T1656"" rel=""noopener"" target=""_blank"">Impersonation</a>.(Citation: Trend Micro - Int SP)</p>
<p>For example, adversaries may leverage <a href=""https://attack.mitre.org/techniques/T1566/001"" rel=""noopener"" target=""_blank"">Spearphishing Attachment</a> or <a href=""https://attack.mitre.org/techniques/T1566/002"" rel=""noopener"" target=""_blank"">Spearphishing Link</a> as part of internal spearphishing to deliver a payload or redirect to an external site to capture credentials through <a href=""https://attack.mitre.org/techniques/T1056"" rel=""noopener"" target=""_blank"">Input Capture</a> on sites that mimic login interfaces.</p>
<p>Adversaries may also leverage internal chat apps, such as Microsoft Teams, to spread malicious content or engage users in attempts to capture sensitive information and/or credentials.(Citation: Int SP - chat apps)</p>","",""
"Unused/Unsupported Cloud Regions","T1535","https://attack.mitre.org/techniques/T1535","IaaS","Defense Evasion","<p>Adversaries may create cloud instances in unused geographic service regions in order to evade detection. Access is usually obtained through compromising accounts used to manage cloud infrastructure.</p>
<p>Cloud service providers often provide infrastructure throughout the world in order to improve performance, provide redundancy, and allow customers to meet compliance requirements. Oftentimes, a customer will only use a subset of the available regions and may not actively monitor other regions. If an adversary creates resources in an unused region, they may be able to operate undetected.</p>
<p>A variation on this behavior takes advantage of differences in functionality across cloud regions. An adversary could utilize regions which do not support advanced detection services in order to avoid detection of their activity.</p>
<p>An example of adversary use of unused AWS regions is to mine cryptocurrency through <a href=""https://attack.mitre.org/techniques/T1496"" rel=""noopener"" target=""_blank"">Resource Hijacking</a>, which can cost organizations substantial amounts of money over time depending on the processing power used.(Citation: CloudSploit - Unused AWS Regions)</p>","",""
